,t,S0,E0,I0,R0,D0,beta,gamma,sigma,c,f,data
14,14,59766802.99999999,3059.107637584604,41310.3590521022,158415.17968785003,33455.881127959576,0.007907785462181238,0.03261835832444878,0.10299942484568551,3.614221490695684e-26,0.0019554718632436583,2020-06-01 17:00:00
15,15,59764721.99999999,2903.2371510401886,34706.038666952605,166544.01643377088,33959.09101872863,0.00862087536815486,0.05175117072101329,0.10299994890177651,2.1200705013406514e-16,0.0021330124554720677,2020-06-08 17:00:00
16,16,59762679.475534074,1558.994955906545,25746.102201815607,177310.05220786438,34375.28186904959,0.008530219102812656,0.04255684152748097,0.10299999986097705,9.999999885154836e-05,0.0018032934680445659,2020-06-15 17:00:00
17,17,59761279.99999999,2478.8242041577614,20434.392219544974,183702.98396972215,34658.159377035045,0.0151884968546985,0.049583441999423446,0.10299999879986993,9.999999445764163e-05,0.0005174401878424637,2020-06-22 17:00:00
18,18,59759563.99999999,1619.103590538523,16124.610627094493,189582.981517225,34770.67932662519,0.012477798988348332,0.02954081542257223,0.1029999719429546,9.997638478927506e-05,0.0008245255720273521,2020-06-29 17:00:00
19,19,59758180.99999999,1771.6875331945628,14474.744438690492,192467.13073832067,34901.55295275797,0.014545054933585424,0.03116235721617886,0.10299997577276801,9.996230547764507e-05,0.0004551071345523767,2020-07-06 17:00:00
20,20,59756769.99999999,2321.2843963214927,12995.522720877334,195218.96206971127,34983.43938673915,0.015064311537067542,0.024271523906167394,0.08300001351455419,9.999969340330736e-05,0.0007299850412714895,2020-07-13 17:00:00
21,21,59755375.99999999,3067.8647495765244,12296.743653731302,197204.6365725331,35070.24819460452,0.019796917217646367,0.017697787884941595,0.08300434901688633,9.070283355635483e-05,0.00045998105872768454,2020-07-20 17:00:00
22,22,59753713.99999999,3749.382623070128,12581.853007074642,198534.00763693714,35118.51974527585,0.024035664081837205,0.02699533244969685,0.08300374715479934,9.381506801530064e-05,0.00040814762549126667,2020-07-27 17:00:00
23,23,59751770.99999999,4892.732479294998,12381.827841785025,200538.66403201214,35172.73268987425,0.029521303823949834,0.021040205783852243,0.08300000050399262,3.4015022422206418e-06,0.0003545668272272307,2020-08-03 17:00:00
24,24,59749174.99999999,6431.595459831765,13337.930807239649,202209.6347616202,35174.932996440824,0.036787316156772325,0.019471378242568865,0.08300000028501311,9.961638842176867e-05,0.002349852018956137,2020-08-10 17:00:00
25,25,59745764.99999999,10307.788544644774,14444.41382839078,204014.31345936743,35418.428571445154,0.04944208299736564,0.014872711633184724,0.08300000233027803,8.159028066655826e-05,5.5624174920074136e-12,2020-08-17 17:00:00
26,26,59739701.99999999,16354.578452546502,18833.0982671507,205744.59713925878,35461.2857025562,0.061947104807819724,0.013882932461950825,0.0830000000000001,9.999999947184032e-05,1.8966459009664232e-10,2020-08-24 17:00:00
27,27,59730785.99999999,17725.613452669175,25805.847788610543,207548.03363684143,35494.558930887244,0.0493740346055721,0.013981338637261026,0.08300000000331118,1.641313983041047e-05,0.00018648257821814957,2020-08-31 17:00:00
28,28,59721215.99999999,18302.712426324633,32889.47480872651,210237.5434742617,35561.32983450918,0.04311025319567339,0.016283663252401326,0.08300000565849186,9.999930455592775e-05,0.00022192881933346068,2020-09-07 17:00:00
29,29,59711238.99999999,19372.699428629796,38935.66417140874,213912.91334479727,35634.37262817479,0.03796013448255316,0.01803649029052407,0.08300000000007542,9.999997192115028e-05,0.00021975880532800534,2020-09-14 17:00:00
30,30,59700493.99999999,20956.20518367038,44736.498560115564,218814.9076058846,35752.95593614738,0.036835558401741623,0.020602187804799093,0.08300012783416183,9.999992103959899e-05,0.00019060118811327077,2020-09-21 17:00:00
31,31,59688635.99999999,28081.399952065,49452.79283568494,225498.77504254057,35918.999982586385,0.04312696886391164,0.021119759659370643,0.08300000000053888,9.999999605410018e-05,1.1263790686204002e-10,2020-09-28 17:00:00
32,32,59672413.99999999,55733.68919701099,56767.60581112725,233253.16502306412,36084.713962981325,0.06744724023082052,0.016283250431551547,0.08300000000000086,9.999999527266775e-05,1.714463157396056e-09,2020-10-05 17:00:00
33,33,59640430.99999999,109987.1442146006,79436.44960189499,241241.83705284132,36365.14279323656,0.09115459168540681,0.01677996793702796,0.08300000465382841,9.99999999378125e-05,2.3165417836872138e-10,2020-10-12 17:00:00
34,34,59576420.571695946,206647.78715567867,128234.44892746578,254176.2579514472,36846.297792205056,0.1028339597427937,0.011663943297831545,0.08304542895769473,9.859100703361061e-05,0.00023798728782000356,2020-10-19 17:00:00
35,35,59457210.99999999,336496.6860700574,231359.12736381922,269408.52194564254,38138.714214423104,0.0980259499407034,0.013108750216481344,0.08300000000000061,9.999999999952769e-05,8.743859032754738e-11,2020-10-26 17:00:00
36,36,59268411.99999999,415813.9010728612,390904.05239829235,296642.69704022375,39653.22669770021,0.07627710761387561,0.013964908478962257,0.08300000000393618,9.999793484734695e-05,0.0004276770636463092,2020-11-02 17:00:00
37,37,59038624.76150076,439372.463852164,567653.7136351755,349925.45513068105,42349.212396103285,0.06024841366637892,0.019589673345441785,0.08300000000020172,9.999999999999999e-05,0.0006442739245844369,2020-11-09 17:00:00
38,38,58793480.57335618,414997.656357002,716509.6733191583,443073.9115137888,45983.94796577505,0.04711614538710802,0.02517235273755121,0.08300000061033026,9.99999999990266e-05,0.0008374228689661549,2020-11-16 17:00:00
39,39,58568204.99999999,314575.0389428922,796753.8476374274,583603.3859905315,50692.79125385081,0.03370092313233751,0.03324032033374602,0.08300001387226347,9.999999999980909e-05,0.0008823724490689249,2020-11-23 17:00:00
40,40,58398445.99999999,201763.592980093,783530.4773137341,762776.3090146922,56208.98930870702,0.0286405482839031,0.034187621503606117,0.10299999999938617,9.999999999999999e-05,0.0007392305798311873,2020-11-30 17:00:00
41,41,58257442.99999999,154275.2752397292,744092.6894980256,936929.063928487,61341.151186531686,0.02342957706368125,0.038273305401916036,0.10299999995151712,9.999999999999999e-05,0.0005770715806445107,2020-12-07 17:00:00
42,42,58144262.99999999,150762.63821394523,671729.1161698527,1120269.929198322,65706.2788425084,0.026111813646738435,0.03871830686845338,0.10299999997638627,9.999999999999999e-05,0.000714687153515837,2020-12-14 17:00:00
43,43,58035945.99999999,137496.52087585648,612381.0643148206,1283274.4614200443,69653.3504621364,0.02539873018471726,0.033570993161063684,0.10299999996642727,9.999999999999999e-05,0.0006085793000423038,2020-12-21 17:00:00
44,44,57943722.99999999,207585.7704823618,569443.68607778,1411979.096717457,72846.80355718751,0.030627165890968828,0.027718464222309492,0.0830000000000066,9.999998458611594e-05,0.0006814154912637838,2020-12-28 17:00:00
45,45,57833755.99999999,220310.10884886375,568002.5193920325,1521501.3395479587,76023.294182066,0.03322362596504751,0.029077352246346264,0.08300000000054303,9.99997862216813e-05,0.0007578488038749574,2021-01-04 17:00:00
46,46,57710978.99999999,150709.92025961788,574286.6445104668,1635319.2277611357,79444.18382328055,0.02873058357473142,0.03320581359577334,0.10299999996497976,9.999999999999999e-05,0.0007872713991714543,2021-01-11 17:00:00
47,47,57609897.99999999,153064.9762471975,544619.4947681666,1762368.7256234821,82899.46184172783,0.02542254231354149,0.04037289613062459,0.0830000000004914,9.999999999802623e-05,0.0007734541433105807,2021-01-18 17:00:00
