,t,S0,E0,I0,R0,D0,beta,gamma,sigma,c,f,data
10,10,59788061.99999999,9003.965836812271,100013.83231623362,83098.58114865367,29170.503898421226,0.013399309644143393,0.04181188599011891,0.12195121949931402,9.999999999999999e-05,0.0025125328047971773,2020-05-04 17:00:00
11,11,59779869.427753136,8170.822550635928,83394.75659904031,105884.56075998538,30663.343317625742,0.011738050613084408,0.0424961599559708,0.12195121916766893,8.511744204954717e-20,0.0028720777633843976,2020-05-11 17:00:00
12,12,59774072.802429534,5141.728593696994,66656.5324037076,127349.96609639577,32047.31609229749,0.010749073113091649,0.036060013234879805,0.1219512162682757,9.999999999999999e-05,0.0020941708591779183,2020-05-18 17:00:00
13,13,59769841.99999999,7817.804570987308,55502.26480722589,141772.1268603381,32861.80699420333,0.009774402901711976,0.053619941618604214,0.06411276478300118,5.551945949570126e-07,0.0018489631028796463,2020-05-25 17:00:00
14,14,59766802.99999999,2596.156041146322,41308.723379478135,158414.1432378052,33454.79968323585,0.007905070705408393,0.03262747552301577,0.12195091123686011,3.8867187500001855e-23,0.001964616212742171,2020-06-01 17:00:00
15,15,59764721.99999999,2490.3078506237157,34701.39299773934,166541.3567670742,33956.24234925051,0.008612719840337027,0.05178052651971807,0.12194727937201671,3.912852044096477e-06,0.00216255743539869,2020-06-08 17:00:00
16,16,59762683.177747644,1254.199994625543,25753.125835495233,177313.58805685342,34379.05909441608,0.008580838970382558,0.042505441593473886,0.12195118377520239,9.999853692769739e-05,0.0017511321957404218,2020-06-15 17:00:00
17,17,59761279.99999999,2039.511180960272,20440.42669850775,183706.28020645404,34661.70763224642,0.015205842685129822,0.0495225738527496,0.12195121883041406,9.999999999955132e-05,0.0004558788407649121,2020-06-22 17:00:00
18,18,59759563.99999999,1296.3144880887496,16132.91042071757,189588.12327612718,34776.050192521965,0.01251145362679309,0.029426716496927,0.12195121934405033,9.999971801474147e-05,0.0007097154037028428,2020-06-29 17:00:00
19,19,59758180.99999999,1434.0361188193783,14482.021632068832,192471.72363514357,34906.35790997063,0.01457818863075397,0.03104877234551461,0.12195121951213275,9.999997669949266e-05,0.00034093366657658703,2020-07-06 17:00:00
20,20,59756769.99999999,3070.197917297711,12991.438094248511,195215.5196446065,34979.92721035499,0.015037904749537102,0.02436422732769352,0.064102564102577,9.982156375729644e-05,0.0008216846501844875,2020-07-13 17:00:00
21,21,59755375.99999999,3992.4680113690406,12295.29803202729,197203.04854616144,35068.90018435935,0.019784718997138642,0.01774164972138003,0.064102564127785,9.309344683770473e-05,0.0004964035414684088,2020-07-20 17:00:00
22,22,59753713.99999999,4866.03880563287,12580.984607486216,198532.86700926285,35117.69630610946,0.02402743696535143,0.02702681110240323,0.06410256410289933,9.849351423175564e-05,0.00043007772235911085,2020-07-27 17:00:00
23,23,59751770.99999999,6336.751778566314,12381.503578756678,200537.15293350228,35171.27112407581,0.029511208809091416,0.02108160936526451,0.06410256413403147,9.999778304774816e-05,0.00039323296382952653,2020-08-03 17:00:00
24,24,59749174.99999999,8309.955179911325,13338.815702979758,202209.27312553217,35174.580340364286,0.03678649472378942,0.01948042377389474,0.06410271907393658,5.221133281064057e-06,0.0023584417712717294,2020-08-10 17:00:00
25,25,59745764.99999999,13364.505952674353,14439.661070587568,204007.13071616506,35418.42844501052,0.0494047775197587,0.015030626471259703,0.06410256410985214,9.966159886122647e-05,2.721003262501902e-09,2020-08-17 17:00:00
26,26,59739701.99999999,21149.58614662395,18831.60157126193,205740.605207726,35461.28555027073,0.061936568520021724,0.013948752566063868,0.06410256410283326,9.999999999882184e-05,2.6524092139578664e-09,2020-08-24 17:00:00
27,27,59730785.99999999,22905.279322398856,25807.2279344694,207545.39223618992,35491.94717474396,0.0493709729379912,0.01401390353255706,0.0641025641030212,4.66823523542515e-06,0.0002180345059916028,2020-08-31 17:00:00
28,28,59721214.78358099,23680.389890945688,32889.60428656203,210236.50559881201,35560.27883605673,0.043103474418182124,0.016294283565319777,0.06410287008063638,5.000000000000122e-07,0.00023209309668326705,2020-09-07 17:00:00
29,29,59711238.99999999,25072.406098141208,38935.38480458076,213909.96106161337,35631.40403967052,0.03795736008649708,0.018061461207333727,0.06410256491715204,9.996474453754328e-05,0.00024426708111599066,2020-09-14 17:00:00
30,30,59700493.99999999,27202.338374926054,44731.19355875458,218809.02834773957,35746.96661169546,0.03682755668260807,0.020645948446199144,0.06410256410372919,9.993108143147906e-05,0.00023397149663200155,2020-09-21 17:00:00
31,31,59688635.99999999,36467.48583063772,49440.36141390239,225484.52261039443,35915.21148145553,0.04310799684680666,0.021214644875727454,0.06410256410256429,9.999996602855525e-05,2.4510351766269177e-05,2020-09-28 17:00:00
32,32,59672413.99999999,72215.69912031162,56745.56163869259,233221.69371612972,36084.7142852482,0.0674246716379251,0.016454289121125325,0.06410256410257623,9.99999999995511e-05,2.4138468231716865e-12,2020-10-05 17:00:00
33,33,59640430.99999999,142368.81575498093,79400.53142958278,241188.91696015434,36365.14285713617,0.09115928059076828,0.016976283930592143,0.06410256458655683,9.999999993612444e-05,2.4446473151625285e-14,2020-10-12 17:00:00
34,34,59576421.9999997,266772.26011307427,128175.74806663151,254076.94534485362,36961.14285428509,0.10291166702533296,0.011906938415339702,0.06410256531669672,9.999972872661455e-05,6.3667174708137156e-12,2020-10-19 17:00:00
35,35,59457210.99999999,435029.82343909127,231312.920759492,269324.642154986,38137.8724348567,0.09816183996761733,0.013213588426412225,0.06410256410256412,9.999999999999999e-05,1.0326774433356424e-06,2020-10-26 17:00:00
