,t,S0,I0,R0,beta,gamma,data
33,33,59642075.574293405,80848.67315726388,277056.57941568596,0.09511899063441678,0.018805009866422907,2020-10-12 17:00:00
34,34,59578389.245520055,131529.41897942562,290058.6827795109,0.1055452760253349,0.014050340387637989,2020-10-19 17:00:00
35,35,59457425.17801788,236471.01405068746,306114.5471854951,0.097809582644377,0.014876516803449901,2020-10-26 17:00:00
36,36,59269256.539922245,395690.36443630524,335058.9255152918,0.07625971689039114,0.015339573162858878,2020-11-02 17:00:00
37,37,59038371.82653274,570485.2425150623,391149.560485126,0.059740304688087345,0.02085935214813477,2020-11-09 17:00:00
38,38,58793357.64055788,717992.642893309,488653.9527709582,0.04677968511062419,0.026194000987864584,2020-11-16 17:00:00
39,39,58569622.73067262,796430.3311339736,633946.7580758592,0.033952676805642776,0.03427247949377563,2020-11-23 17:00:00
40,40,58400171.20388603,782114.0380753609,817712.3341576225,0.0290095138532525,0.035491007267152735,2020-11-30 17:00:00
41,41,58261153.58624619,742226.9135345204,996612.9950824713,0.024479971726312968,0.03963722499336291,2020-12-07 17:00:00
42,42,58145049.935520634,670113.7483355264,1184829.2881654657,0.02625013267417136,0.04003546707294979,2020-12-14 17:00:00
43,43,58036205.840163514,611463.3640194082,1352327.4801795844,0.025410071987025086,0.034520011011432664,2020-12-21 17:00:00
44,44,57946651.3575663,569176.3654995576,1484172.5705544737,0.03172808657710752,0.02878769436095731,2020-12-28 17:00:00
45,45,57835175.2044092,567791.7827142009,1597033.1307921954,0.03370030630475261,0.03012730792984815,2021-01-04 17:00:00
46,46,57711775.211592,573782.6925273602,1714441.4102141014,0.02900072600570339,0.03418470265049062,2021-01-11 17:00:00
47,47,57611657.00286369,543635.6824273104,1844702.6883333062,0.026123174876538317,0.041512518806746945,2021-01-18 17:00:00
