,t,S0,I0,R0,beta,gamma,data
33,33,137781341.3672398,124166816.40139225,4093490.3356523076,0.0006963372393705604,2.4290056375077437e-05,2020-10-12 17:00:00
34,34,668084759.927573,353324799.3610846,14220941.669104464,0.0006273782933221062,1.9029921244855852e-05,2020-10-19 17:00:00
35,35,1059970138.434115,786683951.9701177,21925333.917885616,0.00030622630785101057,1.281358107087817e-05,2020-10-26 17:00:00
36,36,2938897920.2924123,1774513017.9839866,67468744.87369953,0.0005660084459547758,3.263614448811156e-05,2020-11-02 17:00:00
37,37,2159362207.593015,767807458.6855562,176238296.5295303,0.00010086676167871274,1.8849310545317843e-05,2020-11-09 17:00:00
38,38,1942037086.0643234,1103724822.191323,717776279.2824215,0.0002089786019412715,4.303464184145824e-05,2020-11-16 17:00:00
39,39,288955624.8773707,883496.1350023939,381563124.8352728,4.033250523744371e-05,3.7978588624773626e-05,2020-11-23 17:00:00
40,40,441218094.8236524,25296875.2869046,636471046.4340829,1.9269589669936053e-05,9.945578032070556e-06,2020-11-30 17:00:00
41,41,245472908.49117652,123561434.23618129,601852371.5764809,1.17711226242193e-05,1.6249220464187298e-05,2020-12-07 17:00:00
42,42,266099199.75376144,89705158.18004353,1203416351.1063251,7.615690060963892e-05,3.29995866119515e-05,2020-12-14 17:00:00
43,43,504354604.95976174,34865623.788601466,937736939.5646701,3.9920162153253956e-05,5.7340638093329636e-05,2020-12-21 17:00:00
44,44,94605456.29845846,3956314.1428836435,51340868.782336086,3.6347851636290185e-05,3.709771127031608e-05,2020-12-28 17:00:00
45,45,2093505.0483089907,5523579.23504231,453974565.77047306,5.644153207022931e-05,3.0835842534577376e-05,2021-01-04 17:00:00
46,46,98760448.62529695,1401563.684567606,14732926.940379804,1.4182184797940645e-05,1.5355801848775893e-05,2021-01-11 17:00:00
47,47,498719034.20666075,30371375.289505392,369463416.6147457,4.418831512264394e-05,3.5621163619096126e-05,2021-01-18 17:00:00
