,t,S0,I0,R0,D0,beta,gamma,f,data
17,17,59761290.119240105,20381.86840171197,183687.05407662506,34639.90972232099,0.015185642005407922,0.049879917416138154,0.0008342353729410982,2020-06-22 17:00:00
18,18,59759616.54571499,16080.866290971666,189557.923985939,34744.39292999813,0.013067397637868206,0.030099725805782393,0.0013870393807880884,2020-06-29 17:00:00
19,19,59758242.643462054,14434.719411114154,192444.58220676164,34877.83189515342,0.015376748803693722,0.031723416369793436,0.0010193436519202327,2020-07-06 17:00:00
20,20,59756850.61916741,12974.629785178751,195205.3386902734,34969.369374252296,0.01641267600334701,0.024640134793593664,0.001097551757638587,2020-07-13 17:00:00
21,21,59755445.5958393,12292.710002078016,197197.94336564382,35063.75080352998,0.021049865980847307,0.01788299626283152,0.0006355709321673469,2020-07-20 17:00:00
22,22,59753780.78386605,12576.295883172052,198529.10138936059,35113.81445088642,0.025232037871674485,0.027130874082731453,0.0005334654017429368,2020-07-27 17:00:00
23,23,59751908.27462236,12392.580386446445,200532.41146205526,35166.693567461545,0.03199205372435652,0.02120989809339831,0.0005143500295948896,2020-08-03 17:00:00
24,24,59749252.311766125,13365.543153246068,202208.20619549978,35173.89850699935,0.03807630167249792,0.01950520820011849,0.0023749062652837502,2020-08-10 17:00:00
25,25,59746118.14592378,14498.06999076048,203976.35315735126,35406.18470866164,0.054529293686391145,0.015709060939241293,0.00026396825773759196,2020-08-17 17:00:00
26,26,59739849.86693471,18988.63549818636,205717.85954587455,35443.528427832665,0.06353473869511704,0.014320286652637102,0.0002872407414428901,2020-08-24 17:00:00
27,27,59731028.752883695,25954.511828190414,207534.13091741482,35482.32849151127,0.051351409928120144,0.014149523081391458,0.00033419614079412255,2020-08-31 17:00:00
28,28,59721223.66940208,32991.20575165445,210230.03024382048,35555.20234395898,0.04314666621629293,0.01635665152648908,0.0002811792076547471,2020-09-07 17:00:00
29,29,59711458.67664191,39021.30643929455,213898.5591644871,35621.29624625306,0.03918004471287346,0.0181566614721924,0.0003277169336841605,2020-09-14 17:00:00
