,t,S0,E0,I0,R0,D0,beta,gamma,sigma,f,c,data
10,10,3.637978807091431e-12,1.7152417181898408e-20,1.2555145860676852e-16,7.623296525287933e-19,8.471520612625568e-19,1.422261949037243e-29,1.7601767096536269e-28,6.804529279162408e-27,7.417538624875907e-32,4.7472247199205804e-30,2020-05-04 17:00:00
11,11,11254.270248229788,33474.906264057885,353333.63138128316,53419.5381132436,424.44990879713424,1.0315002805388898e-05,2.4963587232668286e-05,0.0002732368778568764,1.1694793028595447e-07,6.245890085878151e-06,2020-05-11 17:00:00
12,12,42543.149156178195,11396.639091708565,1051.4934839886062,9358.064751898704,532.4862641954147,5.1707569122787266e-08,0.0001753961201631905,2.8540100661386044e-05,7.670223883789908e-07,5.96997036607284e-07,2020-05-18 17:00:00
13,13,1.4438450435248904e-11,1.9111180872426563e-20,9.383060412769464e-18,0.0,1.2919158269760428e-17,7.98752481415346e-29,6.981912049272309e-28,2.70443897615747e-30,1.5773847727015565e-30,1.3914843848196956e-30,2020-05-25 17:00:00
14,14,4.780531526193631e-11,2.2085358395697837e-18,1.001748809026246e-17,7.421363870663319e-17,1.5120067504083194e-18,6.0397163055977735e-31,5.911649668015963e-28,7.499108980257782e-29,5.435485878201936e-33,6.240013019814217e-32,2020-06-01 17:00:00
15,15,3249.3681819735157,10399851.604669929,820345.480534282,155172.38471725507,511.42724688963324,2.3737441017961516e-05,0.003566336722414338,0.01024339548503008,3.1085648518358727e-07,1.7700478276831953e-06,2020-06-08 17:00:00
16,16,2.4714119639667546e-12,3.802416927008638e-19,5.765117997249654e-20,0.0,3.1776970411834446e-18,5.9323457111992754e-31,1.747231378939221e-27,1.296926039375346e-29,8.902611167929717e-32,9.383207726251821e-29,2020-06-15 17:00:00
17,17,584.2741326218937,12442.411930321457,830.937549323351,1164.2201819567508,0.8667433991307907,6.309798219963504e-07,2.348110405140939e-05,0.00018306378130988383,1.468416266377398e-08,9.026902813606771e-06,2020-06-22 17:00:00
18,18,2.7983171335678748e-11,1.780886771602046e-19,1.5254567071681533e-18,1.2814761459009516e-17,8.009225911880948e-19,3.917360766183278e-29,1.4353763282523196e-29,3.856145082900996e-30,3.7579896118949887e-32,1.2542599503521741e-28,2020-06-29 17:00:00
19,19,8.100409232270229e-12,5.453965738031993e-19,2.064973681177327e-18,3.025686390886995e-17,6.012292799169845e-18,4.0213898721288106e-30,8.853191805557902e-29,1.7833454183685733e-33,5.538282388983854e-31,5.762555727301219e-29,2020-07-06 17:00:00
20,20,2.958189249113856e-11,1.9617415407309624e-20,1.3007547481293621e-18,5.022058344271264e-18,8.673617379883363e-19,2.4683488539247467e-29,3.952181579577999e-29,4.075267762323391e-27,1.3652736819827248e-31,1.269850353252141e-28,2020-07-13 17:00:00
