,t,S0,I0,R0,D0,beta,gamma,f,data
22,22,59788894.51847657,12584.085967435625,198414.94394122847,35107.474093317665,0.04432452348425799,0.018492143905329286,0.0015473710749907609,2020-07-27 17:00:00
23,23,59787406.16391624,11991.965583820347,200570.08485943795,35157.818870655814,0.029614841166544795,0.00433976718388605,0.002516361098941698,2020-08-03 17:00:00
24,24,59785652.4835964,12877.621676176424,202466.80343977737,35299.97493104155,0.04387265538433173,0.06394689041414046,0.007473534491264644,2020-08-10 17:00:00
25,25,59777913.98973366,14109.241735543288,204338.66029605278,35411.75680927691,0.1107453583603943,0.041822574632560915,0.0010679632033237076,2020-08-17 17:00:00
26,26,59777192.61689066,19656.37807673863,206036.46419387666,35449.19509348319,0.004367507316189165,0.02879215397520765,0.0009629301732823232,2020-08-24 17:00:00
27,27,59768568.01708381,24915.90125877212,208392.5353732923,35482.5254646129,0.11511480685461037,0.07242365743369703,0.0004464076854627586,2020-08-31 17:00:00
28,28,59759316.678389974,36546.942881381154,209593.84911339937,35558.39968848125,0.06759402782339885,0.056398674482109126,0.00019992229078035864,2020-09-07 17:00:00
29,29,59749558.3710828,36833.90882991079,213994.43566304844,35596.345780519216,0.005504191174818966,0.03001163568792928,0.00040661867236558614,2020-09-14 17:00:00
30,30,59736446.24031664,46626.61154755916,216844.50348526594,35729.1635396412,0.09244972569498974,0.08588615128406633,0.00012442000871338148,2020-09-21 17:00:00
31,31,59720878.705773115,54019.912070780316,225871.04435682553,35789.17031898992,0.020776780975883397,0.024620013346306313,0.0012741581756488122,2020-09-28 17:00:00
32,32,59690488.68196052,51175.82231006125,230010.27171228008,36098.41044771019,0.05520802849607853,0.03704055644488673,0.0005089555951572067,2020-10-05 17:00:00
33,33,59690173.15414967,91109.79382776239,243516.26257163315,36138.78160376046,0.09157447644075829,0.010310489768470729,0.00027012983146823685,2020-10-12 17:00:00
34,34,59558961.726530544,135279.30408401936,242478.96181413968,36368.47274017302,0.049794165745557215,0.032756881573100326,0.0019387844426280985,2020-10-19 17:00:00
35,35,59479310.93940034,297568.37165825267,261437.97648850526,37173.61979268517,0.12705126377401874,0.014708817445880732,0.0009830224141045645,2020-10-26 17:00:00
36,36,59187501.60060825,332838.96393996774,289476.1563969578,40270.59946220688,0.1032503164266345,0.041048609505572854,0.00025580392051160415,2020-11-02 17:00:00
37,37,59007087.11391265,590217.3895670773,302831.70271375,40338.979409693,0.12075071918030324,0.04019631764135883,0.00251070139368662,2020-11-09 17:00:00
38,38,58875062.603001066,683555.7131792705,404248.56711864925,44335.378319175936,0.09923710051690239,0.06365700642722938,0.0016234548674557128,2020-11-16 17:00:00
39,39,58672414.34352,796574.6349419205,584398.2727818608,50625.44536300875,0.03748641709134263,0.03910235201533275,0.002771749876446336,2020-11-23 17:00:00
40,40,58469407.80380286,788830.4257334492,685782.4953469364,57613.97656723837,0.1194312907283057,0.11162928484616867,0.0032788845214446524,2020-11-30 17:00:00
41,41,58313622.53111628,770669.8530707697,935429.3647839066,60147.14069512056,0.059675983039798215,0.05209993653455403,0.0009974915371581885,2020-12-07 17:00:00
42,42,58213908.24417877,674652.0393978087,1075619.2605182927,63628.71960378465,0.006618331516662974,0.0023287831879516955,0.0029024332009204463,2020-12-14 17:00:00
43,43,58099230.360522814,616410.3605539064,1293397.3455920792,68823.2125362959,0.020448129104775434,0.03973789673695537,0.00527144649247446,2020-12-21 17:00:00
44,44,57971049.73985599,575055.6468944794,1404218.9473091103,71029.49687677207,0.029176837874823894,0.011598999600140105,0.002808626935741391,2020-12-28 17:00:00
45,45,57883892.13277486,567955.6068104905,1563952.7469663857,76453.19469078348,0.05638664270891942,0.048820424789601746,0.000753685068061145,2021-01-04 17:00:00
46,46,57808030.582289755,573101.5900159042,1641919.8471787458,79253.66988545268,0.07701418125760359,0.054573769253354616,0.0014009502937225463,2021-01-11 17:00:00
47,47,57639531.49117958,547085.368322351,1819622.557072409,82405.81633776092,0.014661766107457867,0.04682123242881564,0.001142402518041309,2021-01-18 17:00:00
