,t,S0,I0,R0,beta,gamma,data
24,24,59749624.25081658,13101.814979938588,237846.61642426203,0.03580546388933992,0.01898227747851738,2020-08-10 17:00:00
25,25,59746637.88826127,14613.259009532976,239240.51319576372,0.03532680160506173,0.00917615782480354,2020-08-17 17:00:00
26,26,59740520.88041573,19341.030903704395,241103.69817908882,0.041470441760776654,0.009130138715001134,2020-08-24 17:00:00
27,27,59730364.02647041,25535.41740448174,243307.2484364167,0.038606683754751445,0.006123277769275557,2020-08-31 17:00:00
28,28,59721641.20773754,32783.61649897477,245864.83237310746,0.02992053966477667,0.012502573337713534,2020-09-07 17:00:00
29,29,59710498.87696104,39065.40743096766,250319.16186059665,0.022208936856479358,0.00876271800326783,2020-09-14 17:00:00
30,30,59702511.32328264,46229.53525837735,254448.42477549377,0.024312644011888863,0.015976177442279735,2020-09-21 17:00:00
31,31,59689462.0999973,51814.83522296005,259284.9008017541,0.031038281573782557,0.018326505358647372,2020-09-28 17:00:00
32,32,59672205.69001563,57057.57866937331,268466.5141900084,0.05093192209973765,0.015670992239563163,2020-10-05 17:00:00
33,33,59646843.71160615,84562.01687618093,277467.6708805714,0.06976550033871803,0.013300572327636784,2020-10-12 17:00:00
34,34,59581057.64179527,144145.35894553235,289704.18787690083,0.06827075991717141,0.010786556431002143,2020-10-19 17:00:00
35,35,59451447.87999694,239873.85938535095,306443.81354931166,0.06586787259696796,0.010301059588211339,2020-10-26 17:00:00
36,36,59259093.99957412,422152.14910984924,331137.2655002028,0.0499692583771377,0.013764676294879102,2020-11-02 17:00:00
37,37,59025151.197827324,578083.6011220777,369684.53237413586,0.04074356591218612,0.019057992530284177,2020-11-09 17:00:00
38,38,58828924.34077498,718956.6826252948,480275.66121118714,0.03473547149096318,0.01981530803463705,2020-11-16 17:00:00
39,39,58549241.15621076,799655.9389057131,660597.7375566792,0.026537673050240185,0.02608730032596664,2020-11-23 17:00:00
40,40,58372758.96045067,788497.4597219275,808360.8881407706,0.01773207595975948,0.023333237943620185,2020-11-30 17:00:00
41,41,58243392.2310951,763285.9649294814,991423.3279801363,0.011436091356162685,0.025074046620330193,2020-12-07 17:00:00
42,42,58165659.091981664,677375.9187421484,1157116.4082606912,0.02641018884215666,0.03652500858758753,2020-12-14 17:00:00
43,43,58007839.4417627,618277.4650797168,1352542.4832812024,0.008013184564215892,0.01754025999771824,2020-12-21 17:00:00
44,44,57934207.85107052,574881.6826506548,1491362.7355841927,0.01802178639317291,0.015315700166806268,2020-12-28 17:00:00
45,45,57808273.33551733,569369.1675702846,1608504.0417600244,0.041035827660780344,0.039415396402698005,2021-01-04 17:00:00
46,46,57693302.7767294,572984.9020229849,1697153.2073267086,0.017372481329597664,0.02091377025437969,2021-01-11 17:00:00
47,47,57608040.883077584,552795.7899496637,1810005.2764448847,0.014664923679469656,0.0284603473139849,2021-01-18 17:00:00
